level,n,y,p,gap,se,z,contrib,var
21940,1042,0.5047984644913628,0.5218558194137188,-0.01705735492235605,0.015474650286677445,-1.1022772473922204,0.4787366306842937,투수
21943,769,0.47074122236671,0.45085691181537896,0.019884310551331053,0.017943161122224244,1.1081832468584656,0.48012352062791985,투수
21955,2775,0.5027027027027027,0.5024371284373008,0.0002655742654018578,0.009491467204573186,0.027980317444904472,0.00030905838639961366,투수
21961,2620,0.5080152671755725,0.5187117180894241,-0.010696450913851518,0.009761465593684966,-1.0957832931124019,0.47335423171726443,투수
21994,417,0.49160671462829736,0.5029893905082371,-0.011382675879939741,0.024484667719694687,-0.4648899470579247,0.08531597566896015,투수
21998,377,0.4535809018567639,0.4750855091127336,-0.0215046072559697,0.02571932094510912,-0.8361265564462382,0.27530236896988813,투수
22028,1031,0.457807953443259,0.4722162309877665,-0.01440827754450752,0.015547806884354035,-0.926708033594549,0.337977947491387,투수
22094,732,0.41939890710382516,0.4687376810602684,-0.04933877395644326,0.018444373148456285,-2.6750041088044623,2.813800842054698,투수
22163,650,0.45076923076923076,0.4819449743725299,-0.031175743603299166,0.01959882320052725,-1.5906946699973534,0.9975911010474877,투수
22192,727,0.4896836313617607,0.4743287082765654,0.01535492308519526,0.018519515888651097,0.8291211918020425,0.27066697495592634,투수
22205,804,0.47139303482587064,0.4873781653085773,-0.015985130482706666,0.01762802104552213,-0.9068023257645934,0.3244098167996184,투수
22249,1814,0.4807056229327453,0.4765592251363306,0.004146397796414736,0.01172663949776658,0.3535878967887131,0.049247567078619305,투수
22254,1107,0.5654923215898826,0.5498078823085764,0.01568443928130625,0.014953078520348698,1.0489103805589124,0.4300225033462406,투수
22277,2225,0.5824719101123595,0.5889878184354866,-0.006515908323127095,0.010430749015304053,-0.6246826870790313,0.1491713820845196,투수
22278,828,0.48429951690821255,0.4820246869828206,0.0022748299253919635,0.0173649686268926,0.13100109618793113,0.006766027676466938,투수
22292,1221,0.4520884520884521,0.4558614834199803,-0.003773031331528176,0.014253231923800324,-0.26471409093034504,0.027447453300091344,투수
22293,1061,0.49858623939679547,0.5040991916086367,-0.005512952211841227,0.015349623119282473,-0.3591587994701809,0.050920118691502925,투수
22302,465,0.44731182795698926,0.48222552440052685,-0.03491369644353759,0.023172289161477934,-1.5067003609457283,0.8950559496665738,투수
22318,529,0.5141776937618148,0.5321503028824058,-0.017972609120591065,0.021694142930191018,-0.8284544440600685,0.2698258152321767,투수
22368,270,0.44814814814814813,0.48666294545693106,-0.03851479730878293,0.0304182037953223,-1.2661759243885968,0.6324476236255783,투수
22380,866,0.4953810623556582,0.5097678736863194,-0.014386811330661164,0.016987449131490424,-0.8469082803015824,0.2830430896091644,투수
22389,1321,0.4882664647993944,0.5046932981384394,-0.016426833339045044,0.013756231069111393,-1.1941376425357009,0.5628803491523325,투수
22397,870,0.5091954022988506,0.5127228096345123,-0.003527407335661703,0.016946098798838762,-0.20815453618761032,0.017093698821121724,투수
22419,1136,0.5008802816901409,0.5111510482374706,-0.010270766547329724,0.014831080983415358,-0.692516382239087,0.18922983679266278,투수
22435,1056,0.5198863636363636,0.5227790598908423,-0.0028926962544786328,0.015370460478850425,-0.18819841204230342,0.013953242828880792,투수
22469,677,0.43131462333825704,0.4659152071226045,-0.03460058378434744,0.019171858488273755,-1.8047589807482924,1.2798559415594473,투수
22508,664,0.4322289156626506,0.4826961337157957,-0.050467218053145135,0.019392139764761694,-2.6024574216843943,2.670498742642716,투수
22525,249,0.5100401606425703,0.5059162380314832,0.004123922611087072,0.03168399429504071,0.13015791420378342,0.006686916933016198,투수
22547,471,0.4713375796178344,0.46608686855230264,0.005250711065531766,0.02298572895736635,0.22843352391698,0.020505138933174568,투수
22575,295,0.4542372881355932,0.47204675727494044,-0.017809469139347223,0.029065595960624725,-0.6127336650338696,0.14775069492944665,투수
22598,374,0.4625668449197861,0.4835427016002462,-0.020975856680460092,0.02584037576346901,-0.8117473550873834,0.2598463278951676,투수
22617,981,0.5045871559633027,0.49198935076290945,0.012597805200393275,0.01596172248243655,0.7892509855534229,0.2458466824720367,투수
22621,416,0.5024038461538461,0.48460476732938196,0.017799078824464187,0.024502893609098336,0.7264072198336237,0.2081104800380771,투수
22624,1289,0.4678044996121024,0.4683548521002048,-0.000550352488102368,0.013898629582733869,-0.03959760815455256,0.0006165103237305747,투수
22651,2592,0.4834104938271605,0.4709751963804151,0.01243529744674543,0.009804366483908523,1.2683427804493987,0.6329259768290193,투수
22667,856,0.47079439252336447,0.46506357747187194,0.005730815051492533,0.01704787946843397,0.33615999351143755,0.044392757042559176,투수
22668,642,0.5404984423676013,0.5119175872700296,0.02858085509757169,0.019727819719714424,1.4487589355356,0.8281157258058021,투수
22675,389,0.4473007712082262,0.498031286355928,-0.05073051514770183,0.02535080981485331,-2.001139826230651,1.5808611030184319,투수
22710,1074,0.5344506517690876,0.5320452658325803,0.0024053859365072983,0.015225587993150503,0.15798312272664958,0.00981249354196193,투수
22720,1609,0.4810441267868241,0.4639342192239652,0.017109907562858906,0.012432521644537712,1.3762218198410479,0.743801308825813,투수
22729,1350,0.5155555555555555,0.5067479296501463,0.008807625905409289,0.013607036998755777,0.647284629726123,0.16537012567127463,투수
22730,2789,0.48691287199713157,0.4934296377261575,-0.006516765729025931,0.009466909975748018,-0.6883730536912617,0.1870330256660998,투수
22735,832,0.453125,0.4630705205001766,-0.009945520500176608,0.017287035686234756,-0.5753167102035882,0.1299522872397609,투수
22738,1138,0.4806678383128295,0.4829049537761398,-0.0022371154633102908,0.014813063612840875,-0.15102314563552008,0.008993414892727754,투수
22741,919,0.5603917301414582,0.5337217350103387,0.02666999513111945,0.01645592406957327,1.6206926465121352,1.0322073609714366,투수
22743,1092,0.42032967032967034,0.4877225865286879,-0.06739291619901755,0.01512612618392158,-4.455398254620758,7.831711932455118,투수
22759,2926,0.5034176349965823,0.49055413592115316,0.012863499075429163,0.009241773709037941,1.3918863932850223,0.7645363321297143,투수
22761,540,0.5074074074074074,0.4998759003374873,0.007531507069920118,0.021516573482855014,0.3500328282252481,0.04836855394625123,투수
22782,742,0.4757412398921833,0.4650455775418634,0.010695662350319934,0.018310668401015244,0.5841218963763719,0.1340370439971998,투수
22820,899,0.4649610678531702,0.46320078621934857,0.0017602816338216365,0.016630707819094773,0.10584526244881443,0.004398752987441375,투수
22834,1279,0.44487881157154024,0.4475291256209385,-0.00265031404939825,0.013903689931082494,-0.19061947314240096,0.014186353896512691,투수
22867,484,0.4607438016528926,0.44174552571439973,0.018998275938492848,0.022572491862798215,0.8416561208204025,0.2758540165008181,투수
22890,2159,0.4668828161185734,0.47867901206937963,-0.01179619595080622,0.01075099046405296,-1.097219459941669,0.4743972537693982,투수
22899,1097,0.46946216955332726,0.47241776507750916,-0.0029555955241818976,0.015073179750200083,-0.1960830808869419,0.015132204284462911,투수
22901,527,0.4174573055028463,0.45978059245679076,-0.04232328695394444,0.021709763945798724,-1.9495047048696652,1.4906475161039139,투수
23005,348,0.4166666666666667,0.43250283520801086,-0.015836168541344176,0.026557470361952506,-0.5962980783001013,0.13781136742901723,투수
23043,760,0.49078947368421055,0.4643236274401993,0.02646584624401127,0.01809067790039994,1.4629549201926908,0.8406026022095283,투수
23047,388,0.49742268041237114,0.4785434146260887,0.018879265786282462,0.025360270848016852,0.7444425928818028,0.21837730116551912,투수
23092,769,0.4486345903771131,0.46272484654588597,-0.014090256168772852,0.017980286956307823,-0.7836502388984246,0.24108471980783844,투수
23105,517,0.45454545454545453,0.46727886389465945,-0.012733409349204916,0.021942836198830265,-0.5802991570380365,0.1323687636315817,투수
23112,636,0.5015723270440252,0.5133435736035372,-0.011771246559512005,0.019819228205763952,-0.5939306231959435,0.13915781347835338,투수
23145,230,0.4391304347826087,0.4839165268774547,-0.044786092094845964,0.03295196252599258,-1.3591327696952373,0.7284835364645362,투수
23190,222,0.5225225225225225,0.47470686758167774,0.047815654940844776,0.03351483854860487,1.4267010378552223,0.8014912023292896,투수
23206,878,0.49544419134396356,0.4887360616827642,0.00670812966119938,0.016869900265221654,0.3976389638194012,0.06238827538611756,투수
23229,2532,0.5414691943127962,0.5443808163798781,-0.0029116220670819537,0.009897387098689307,-0.2941808820903382,0.033895283712538936,투수
23231,465,0.4150537634408602,0.483328039581781,-0.0682742761409208,0.023174051382880225,-2.9461519271230343,3.4227306918712257,투수
23235,692,0.5216763005780347,0.5312926397032544,-0.009616339125219642,0.018969886796140478,-0.5069265425018844,0.10104880994619847,투수
23238,827,0.48125755743651755,0.48467180161866036,-0.0034142441821428116,0.017378531500542135,-0.19646333075014433,0.015222999505546559,투수
23258,204,0.4166666666666667,0.45386995241191763,-0.03720328574525095,0.0348576952084149,-1.0672904655001345,0.44585981433621036,투수
23284,381,0.41732283464566927,0.4546959304707781,-0.03737309582510884,0.025510408625739583,-1.4650136096761694,0.8403277242907423,투수
23288,424,0.5566037735849056,0.5263709196618954,0.030232853923010228,0.02424835019656297,1.246800449429979,0.6119694122448511,투수
23306,989,0.4863498483316481,0.4901550912327835,-0.003805242901135375,0.015895992772387096,-0.23938378405313926,0.022613439740115916,투수
23312,735,0.5006802721088436,0.5014185907648009,-0.0007383186559573041,0.01844270361045024,-0.040033103147574765,0.0006326748801474038,투수
23347,1491,0.45942320590207913,0.4989506268873527,-0.039527420985273565,0.012948820962930452,-3.052588424724663,3.678579696444305,투수
23363,684,0.4283625730994152,0.45102459747605606,-0.022662024376640832,0.019026044397627524,-1.1911054080934818,0.5547011599944374,투수
23369,468,0.4935897435897436,0.44332534500997783,0.05026439857976578,0.02296355266567884,2.1888772748517518,1.8671207341594416,투수
23414,1134,0.48500881834215165,0.4934633072834418,-0.00845448894129014,0.014846577870655115,-0.5694570839789815,0.12799509970524903,투수
23418,832,0.5204326923076923,0.5099075346662155,0.010525157641476768,0.01733097773846586,0.6073031654824834,0.14554125395594644,투수
23421,1322,0.5173978819969742,0.5004474714334279,0.016950410563546292,0.013751627596403401,1.2326112269052065,0.5997875774594268,투수
23424,1575,0.41904761904761906,0.4511217548564171,-0.03207413580879803,0.012538472025379641,-2.5580577716228454,2.558562635519703,투수
23426,646,0.5030959752321982,0.5096947011896413,-0.006598725957443152,0.019668538658346384,-0.33549650393792574,0.04441792545762414,투수
23429,730,0.4684931506849315,0.47313578036384635,-0.0046426296789148225,0.01847910014203534,-0.25123678335147925,0.024846001924378625,투수
23437,1345,0.420817843866171,0.4308880180223434,-0.010070174156172396,0.013502678625821184,-0.7457908490034854,0.21537823557465247,투수
23439,242,0.4462809917355372,0.509705962446843,-0.06342497071130576,0.03213516098385998,-1.9736938845011922,1.5372393194278113,투수
23462,579,0.46286701208981,0.4905600920511198,-0.027693079961309763,0.02077558718040726,-1.3329625642266396,0.7011753673588936,투수
23475,479,0.4592901878914405,0.4476988441607313,0.011591343730709192,0.022720255238809543,0.5101766511368001,0.10162689347601953,투수
23478,1205,0.46473029045643155,0.453879024052071,0.010851266404360571,0.014342371302794692,0.756588026852027,0.2240543943454522,투수
