variant,tau,K1,K2,K3,n_season,BSS,Resolution,Reliability,dBSS,dResolution,paired,paired_se,sigma
l1only,3.0,1000.0,300.0,300.0,4,401.7252933728233,561.3590088571647,159.69865163269802,-1.3566063014391716,2.7069530742189727,-1.3199478902260453,1.3413330790806879,0.9840567647304281
l1only,3.0,3000.0,300.0,300.0,4,402.88816458856627,560.0356177201029,156.68451449124856,-0.1937350856961757,1.3835619371571966,-0.18077278155193055,0.4593438127218329,0.39354569833163733
l1only,3.0,10000.0,300.0,300.0,4,403.052983914165,560.6230789203562,156.07537013454805,-0.028915760097447674,1.9710231374104978,-0.024943086615046753,0.13916412366897832,0.17923503527660214
hier,3.0,10.0,300.0,300.0,4,0.0,291.5076850433319,1029.7713266167937,-403.08189967426244,-267.1443707396138,-405.2214173285849,36.46314672507815,11.113177378349713
hier,3.0,30.0,300.0,300.0,4,0.0,409.17535475149737,426.4977913225221,-403.08189967426244,-149.47670103144833,-397.0536516440883,29.738758088515233,13.351386445334644
hier,3.0,100.0,300.0,300.0,4,258.8012156139352,507.53292944669744,240.4536647864135,-144.28068406032725,-51.11912633624826,-143.86897768114443,16.87424341623898,8.525951305330329
hier,3.0,300.0,300.0,300.0,4,319.9947679348614,536.9097579548722,208.28739915899993,-83.08713173940106,-21.742297828073447,-82.8519942247961,14.326425822378523,5.783158706296273
hier,3.0,1000.0,300.0,300.0,4,331.7512107772758,545.183444577714,203.50937052458832,-71.33068889698666,-13.468611205231696,-71.1942249915294,13.868257543274462,5.133609955639718
hier,3.0,3000.0,300.0,300.0,4,333.4361650792927,547.7721161337862,206.3477704844624,-69.64573459496972,-10.879939649159496,-69.54387825365322,13.825452750143405,5.030133877744573
hier,3.0,10000.0,300.0,300.0,4,333.80201393699014,548.2840907418083,205.88807821831972,-69.27988573727231,-10.367965041137381,-69.19099002318168,13.8224712882793,5.005688822218923
l1only,1.5,10.0,300.0,300.0,4,0.0,288.3120201202025,890.9800843677131,-403.08189967426244,-270.3400356627432,-405.2214173285849,36.46314672507815,11.113177378349713
l1only,1.5,30.0,300.0,300.0,4,77.39828228580103,403.05302401471056,316.4246393659952,-325.6836173884614,-155.59903176823514,-325.24426483946775,21.099927620653208,15.414473010850967
l1only,1.5,100.0,300.0,300.0,4,342.2879677425938,516.3481006383394,171.10358256070066,-60.793931931668624,-42.303955144606334,-60.78819662300144,9.194251941214636,6.611543496052036
l1only,1.5,300.0,300.0,300.0,4,393.5858686383908,550.0044538983192,154.61643109465757,-9.496031035871624,-8.64760188462651,-9.488306723697715,3.5944100185192545,2.6397396721052147
l1only,1.5,1000.0,300.0,300.0,4,402.0563288670953,564.7626157226669,161.42703364118697,-1.025570807167128,6.110559939721156,-1.0218088084874544,1.1569569267102213,0.8831865602749297
